Ido,Idp,Fecha,Nom_art,Tipo_art,Servicio,Precio_art,Cantidad,Monto_trans,Tipo_trans,GPR,Hora_venta,Id_Orden,Id_Pagar,Ref
17.221,17.222,2022-01-11,Panipuri,Comida rapida,Domicilio,20.00,10,200.00,Virtual,Sra.,Tarde,17.221,17.222,17
18.221,18.222,2022-01-11,Panipuri,Comida rapida,Restaurante,20.00,2,40.00,Virtual,Sra.,Tarde/noche,18.221,18.222,18
19.221,19.222,2022-01-12,Frankie,Comida rapida,Domicilio,50.00,8,400.00,Virtual,Sra.,Tarde,19.221,19.222,19
20.221,20.222,2022-01-12,Sandwich,Comida rapida,Restaurante,60.00,7,420.00,Virtual,Sra.,Maniana,20.221,20.222,20
21.221,21.222,2022-01-12,Vadapav,Comida rapida,Restaurante,20.00,6,120.00,Virtual,Sra.,Tarde,21.221,21.222,21
22.221,22.222,2022-02-04,Sandwich,Comida rapida,Restaurante,60.00,15,900.00,Efectivo,Sr.,Tarde,22.221,22.222,22
23.221,23.222,2022-02-04,Cafe frio,Bebidas,Domicilio,40.00,15,600.00,Efectivo,Sr.,Media noche,23.221,23.222,23
24.221,24.222,2022-02-05,Cafe frio,Bebidas,Restaurante,40.00,10,400.00,Cheque,Sra.,Noche,24.221,24.222,24
25.221,25.222,2022-02-06,Cafe frio,Bebidas,Domicilio,40.00,4,160.00,Efectivo,Sra.,Tarde/noche,25.221,25.222,25
26.221,26.222,2022-02-07,Cafe frio,Bebidas,Domicilio,40.00,10,400.00,Virtual,Sr.,Tarde,26.221,26.222,26
27.221,27.222,2022-02-07,Cafe frio,Bebidas,Restaurante,40.00,1,40.00,Efectivo,Sr.,Media noche,27.221,27.222,27
28.221,28.222,2022-02-07,Panipuri,Comida rapida,Domicilio,20.00,2,40.00,Efectivo,Sra.,Media noche,28.221,28.222,28
29.221,29.222,2022-02-07,Jugo cania de azucar,Bebidas,Domicilio,25.00,1,25.00,Efectivo,Sra.,Media noche,29.221,29.222,29
30.221,30.222,2022-02-07,Jugo cania de azucar,Bebidas,Domicilio,25.00,10,250.00,Virtual,Sra.,Tarde/noche,30.221,30.222,30
31.221,31.222,2022-02-07,Panipuri,Comida rapida,Restaurante,20.00,13,260.00,Virtual,Sr.,Tarde/noche,31.221,31.222,31
32.221,32.222,2022-02-08,Cafe frio,Bebidas,Domicilio,40.00,7,280.00,Virtual,Sr.,Tarde/noche,32.221,32.222,32
33.221,33.222,2022-02-08,Panipuri,Comida rapida,Restaurante,20.00,4,80.00,Efectivo,Sra.,Noche,33.221,33.222,33
34.221,34.222,2022-02-08,Cafe frio,Bebidas,Domicilio,40.00,8,320.00,Efectivo,Sra.,Tarde,34.221,34.222,34
35.221,35.222,2022-02-10,Jugo cania de azucar,Bebidas,Restaurante,25.00,8,200.00,Virtual,Sr.,Tarde/noche,35.221,35.222,35
36.221,36.222,2022-02-10,Frankie,Comida rapida,Restaurante,50.00,10,500.00,Virtual,Sra.,Noche,36.221,36.222,36
37.221,37.222,2022-02-10,Vadapav,Comida rapida,Restaurante,20.00,12,240.00,Efectivo,Sr.,Tarde/noche,37.221,37.222,37
38.221,38.222,2022-02-10,Cafe frio,Bebidas,Restaurante,40.00,2,80.00,Virtual,Sr.,Maniana,38.221,38.222,38
39.221,39.222,2022-02-10,Jugo cania de azucar,Bebidas,Domicilio,25.00,5,125.00,Virtual,Sr.,Tarde,39.221,39.222,39
40.221,40.222,2022-02-10,Frankie,Comida rapida,Domicilio,50.00,2,100.00,Efectivo,Sra.,Maniana,40.221,40.222,40
41.221,41.222,2022-02-11,Vadapav,Comida rapida,Domicilio,20.00,8,160.00,Efectivo,Sra.,Media noche,41.221,41.222,41
42.221,42.222,2022-02-11,Frankie,Comida rapida,Domicilio,50.00,4,200.00,Virtual,Sr.,Maniana,42.221,42.222,42
43.221,43.222,2022-02-11,Aalopuri,Comida rapida,Domicilio,20.00,1,20.00,Virtual,Sra.,Media noche,43.221,43.222,43
44.221,44.222,2022-02-11,Sandwich,Comida rapida,Domicilio,60.00,7,420.00,Cheque,Sra.,Noche,44.221,44.222,44
45.221,45.222,2022-02-11,Sandwich,Comida rapida,Domicilio,60.00,12,720.00,Virtual,Sr.,Maniana,45.221,45.222,45
46.221,46.222,2022-02-12,Jugo cania de azucar,Bebidas,Domicilio,25.00,14,350.00,Virtual,Sra.,Maniana,46.221,46.222,46
47.221,47.222,2022-02-12,Sandwich,Comida rapida,Domicilio,60.00,15,900.00,Efectivo,Sra.,Noche,47.221,47.222,47
48.221,48.222,2022-02-12,Cafe frio,Bebidas,Restaurante,40.00,6,240.00,Cheque,Sra.,Tarde/noche,48.221,48.222,48
49.221,49.222,2022-03-04,Sandwich,Comida rapida,Restaurante,60.00,1,60.00,Efectivo,Sra.,Maniana,49.221,49.222,49
50.221,50.222,2022-03-04,Aalopuri,Comida rapida,Restaurante,20.00,10,200.00,Virtual,Sra.,Media noche,50.221,50.222,50
51.221,51.222,2022-03-04,Panipuri,Comida rapida,Restaurante,20.00,11,220.00,Virtual,Sra.,Noche,51.221,51.222,51
52.221,52.222,2022-03-05,Jugo cania de azucar,Bebidas,Restaurante,25.00,9,225.00,Efectivo,Sr.,Tarde/noche,52.221,52.222,52
53.221,53.222,2022-03-05,Vadapav,Comida rapida,Restaurante,20.00,13,260.00,Efectivo,Sr.,Tarde/noche,53.221,53.222,53
54.221,54.222,2022-03-05,Panipuri,Comida rapida,Restaurante,20.00,7,140.00,Efectivo,Sra.,Maniana,54.221,54.222,54
55.221,55.222,2022-03-05,Sandwich,Comida rapida,Domicilio,60.00,8,480.00,Efectivo,Sr.,Tarde/noche,55.221,55.222,55
56.221,56.222,2022-03-07,Aalopuri,Comida rapida,Domicilio,20.00,13,260.00,Cheque,Sr.,Noche,56.221,56.222,56
57.221,57.222,2022-03-07,Cafe frio,Bebidas,Restaurante,40.00,2,80.00,Virtual,Sra.,Media noche,57.221,57.222,57
58.221,58.222,2022-03-07,Sandwich,Comida rapida,Restaurante,60.00,2,120.00,Virtual,Sra.,Tarde/noche,58.221,58.222,58
59.221,59.222,2022-03-08,Vadapav,Comida rapida,Restaurante,20.00,1,20.00,Virtual,Sr.,Media noche,59.221,59.222,59
60.221,60.222,2022-03-08,Jugo cania de azucar,Bebidas,Domicilio,25.00,7,175.00,Efectivo,Sr.,Maniana,60.221,60.222,60
61.221,61.222,2022-03-09,Aalopuri,Comida rapida,Restaurante,20.00,2,40.00,Virtual,Sr.,Tarde/noche,61.221,61.222,61
62.221,62.222,2022-03-09,Jugo cania de azucar,Bebidas,Restaurante,25.00,13,325.00,Cheque,Sra.,Media noche,62.221,62.222,62
63.221,63.222,2022-03-10,Jugo cania de azucar,Bebidas,Domicilio,25.00,1,25.00,Virtual,Sra.,Tarde,63.221,63.222,63
64.221,64.222,2022-03-10,Vadapav,Comida rapida,Restaurante,20.00,2,40.00,Efectivo,Sra.,Maniana,64.221,64.222,64
65.221,65.222,2022-03-10,Jugo cania de azucar,Bebidas,Domicilio,25.00,6,150.00,Cheque,Sr.,Media noche,65.221,65.222,65
66.221,66.222,2022-03-10,Frankie,Comida rapida,Domicilio,50.00,13,650.00,Efectivo,Sr.,Maniana,66.221,66.222,66
67.221,67.222,2022-03-11,Frankie,Comida rapida,Restaurante,50.00,6,300.00,Efectivo,Sr.,Tarde,67.221,67.222,67
68.221,68.222,2022-03-11,Cafe frio,Bebidas,Domicilio,40.00,10,400.00,Efectivo,Sra.,Noche,68.221,68.222,68
69.221,69.222,2022-03-12,Aalopuri,Comida rapida,Restaurante,20.00,1,20.00,Cheque,Sra.,Maniana,69.221,69.222,69
70.221,70.222,2022-03-12,Jugo cania de azucar,Bebidas,Restaurante,25.00,14,350.00,Virtual,Sr.,Tarde/noche,70.221,70.222,70
71.221,71.222,2022-03-12,Panipuri,Comida rapida,Restaurante,20.00,9,180.00,Efectivo,Sra.,Media noche,71.221,71.222,71
72.221,72.222,2022-04-04,Cafe frio,Bebidas,Domicilio,40.00,4,160.00,Efectivo,Sra.,Tarde/noche,72.221,72.222,72
73.221,73.222,2022-04-04,Sandwich,Comida rapida,Restaurante,60.00,14,840.00,Virtual,Sr.,Tarde,73.221,73.222,73
74.221,74.222,2022-04-04,Cafe frio,Bebidas,Restaurante,40.00,15,600.00,Cheque,Sra.,Tarde,74.221,74.222,74
75.221,75.222,2022-04-04,Sandwich,Comida rapida,Restaurante,60.00,15,900.00,Efectivo,Sr.,Tarde,75.221,75.222,75
76.221,76.222,2022-04-05,Vadapav,Comida rapida,Domicilio,20.00,3,60.00,Efectivo,Sr.,Media noche,76.221,76.222,76
77.221,77.222,2022-04-05,Frankie,Comida rapida,Domicilio,50.00,7,350.00,Efectivo,Sra.,Tarde/noche,77.221,77.222,77
78.221,78.222,2022-04-05,Jugo cania de azucar,Bebidas,Restaurante,25.00,13,325.00,Efectivo,Sr.,Maniana,78.221,78.222,78
79.221,79.222,2022-04-05,Aalopuri,Comida rapida,Domicilio,20.00,11,220.00,Efectivo,Sra.,Noche,79.221,79.222,79
80.221,80.222,2022-04-06,Panipuri,Comida rapida,Restaurante,20.00,2,40.00,Virtual,Sra.,Maniana,80.221,80.222,80
81.221,81.222,2022-04-07,Sandwich,Comida rapida,Domicilio,60.00,10,600.00,Efectivo,Sra.,Tarde/noche,81.221,81.222,81
82.221,82.222,2022-04-07,Vadapav,Comida rapida,Domicilio,20.00,6,120.00,Virtual,Sra.,Tarde,82.221,82.222,82
83.221,83.222,2022-04-07,Vadapav,Comida rapida,Domicilio,20.00,14,280.00,Cheque,Sra.,Noche,83.221,83.222,83
84.221,84.222,2022-04-07,Jugo cania de azucar,Bebidas,Restaurante,25.00,1,25.00,Efectivo,Sra.,Maniana,84.221,84.222,84
85.221,85.222,2022-04-08,Panipuri,Comida rapida,Domicilio,20.00,14,280.00,Virtual,Sra.,Maniana,85.221,85.222,85
86.221,86.222,2022-04-08,Panipuri,Comida rapida,Restaurante,20.00,1,20.00,Efectivo,Sra.,Media noche,86.221,86.222,86
87.221,87.222,2022-04-08,Jugo cania de azucar,Bebidas,Domicilio,25.00,9,225.00,Efectivo,Sr.,Tarde/noche,87.221,87.222,87
88.221,88.222,2022-04-09,Sandwich,Comida rapida,Domicilio,60.00,8,480.00,Efectivo,Sra.,Media noche,88.221,88.222,88
89.221,89.222,2022-04-09,Sandwich,Comida rapida,Restaurante,60.00,5,300.00,Efectivo,Sra.,Tarde/noche,89.221,89.222,89
90.221,90.222,2022-04-10,Jugo cania de azucar,Bebidas,Restaurante,25.00,12,300.00,Virtual,Sr.,Tarde/noche,90.221,90.222,90
91.221,91.222,2022-04-10,Cafe frio,Bebidas,Restaurante,40.00,10,400.00,Efectivo,Sr.,Noche,91.221,91.222,91
92.221,92.222,2022-04-11,Aalopuri,Comida rapida,Domicilio,20.00,13,260.00,Efectivo,Sra.,Maniana,92.221,92.222,92
93.221,93.222,2022-04-12,Aalopuri,Comida rapida,Restaurante,20.00,2,40.00,Efectivo,Sr.,Noche,93.221,93.222,93
94.221,94.222,2022-04-12,Frankie,Comida rapida,Domicilio,50.00,4,200.00,Virtual,Sr.,Tarde/noche,94.221,94.222,94
95.221,95.222,2022-04-12,Frankie,Comida rapida,Domicilio,50.00,15,750.00,Efectivo,Sr.,Media noche,95.221,95.222,95
96.221,96.222,2022-04-12,Cafe frio,Bebidas,Restaurante,40.00,15,600.00,Efectivo,Sr.,Maniana,96.221,96.222,96
97.221,97.222,2022-04-12,Jugo cania de azucar,Bebidas,Domicilio,25.00,7,175.00,Efectivo,Sr.,Maniana,97.221,97.222,97
98.221,98.222,2022-04-14,Sandwich,Comida rapida,Restaurante,60.00,11,660.00,Cheque,Sra.,Media noche,98.221,98.222,98
99.221,99.222,2022-04-15,Jugo cania de azucar,Bebidas,Restaurante,25.00,3,75.00,Virtual,Sr.,Tarde,99.221,99.222,99
100.221,100.222,2022-04-16,Frankie,Comida rapida,Restaurante,50.00,6,300.00,Virtual,Sr.,Tarde,100.221,100.222,100
101.221,101.222,2022-04-16,Jugo cania de azucar,Bebidas,Restaurante,25.00,3,75.00,Cheque,Sr.,Noche,101.221,101.222,101
102.221,102.222,2022-04-16,Sandwich,Comida rapida,Domicilio,60.00,6,360.00,Efectivo,Sra.,Tarde/noche,102.221,102.222,102
103.221,103.222,2022-04-17,Frankie,Comida rapida,Restaurante,50.00,5,250.00,Virtual,Sra.,Media noche,103.221,103.222,103
104.221,104.222,2022-04-17,Sandwich,Comida rapida,Domicilio,60.00,12,720.00,Efectivo,Sr.,Noche,104.221,104.222,104
105.221,105.222,2022-04-17,Jugo cania de azucar,Bebidas,Domicilio,25.00,11,275.00,Cheque,Sra.,Maniana,105.221,105.222,105
106.221,106.222,2022-04-18,Aalopuri,Comida rapida,Restaurante,20.00,12,240.00,Efectivo,Sr.,Maniana,106.221,106.222,106
107.221,107.222,2022-04-19,Sandwich,Comida rapida,Domicilio,60.00,4,240.00,Efectivo,Sra.,Media noche,107.221,107.222,107
108.221,108.222,2022-04-19,Cafe frio,Bebidas,Domicilio,40.00,1,40.00,Efectivo,Sr.,Media noche,108.221,108.222,108
109.221,109.222,2022-04-20,Cafe frio,Bebidas,Restaurante,40.00,4,160.00,Efectivo,Sr.,Noche,109.221,109.222,109
110.221,110.222,2022-04-20,Cafe frio,Bebidas,Domicilio,40.00,12,480.00,Virtual,Sra.,Tarde,110.221,110.222,110
111.221,111.222,2022-04-20,Aalopuri,Comida rapida,Restaurante,20.00,5,100.00,Virtual,Sr.,Tarde,111.221,111.222,111
112.221,112.222,2022-04-21,Panipuri,Comida rapida,Restaurante,20.00,8,160.00,Virtual,Sra.,Maniana,112.221,112.222,112
113.221,113.222,2022-04-21,Aalopuri,Comida rapida,Domicilio,20.00,1,20.00,Virtual,Sra.,Noche,113.221,113.222,113
114.221,114.222,2022-04-21,Jugo cania de azucar,Bebidas,Domicilio,25.00,9,225.00,Virtual,Sra.,Media noche,114.221,114.222,114
115.221,115.222,2022-04-22,Panipuri,Comida rapida,Domicilio,20.00,14,280.00,Efectivo,Sr.,Media noche,115.221,115.222,115
116.221,116.222,2022-04-23,Sandwich,Comida rapida,Domicilio,60.00,4,240.00,Efectivo,Sra.,Noche,116.221,116.222,116
117.221,117.222,2022-04-23,Vadapav,Comida rapida,Domicilio,20.00,13,260.00,Efectivo,Sra.,Noche,117.221,117.222,117
118.221,118.222,2022-04-23,Jugo cania de azucar,Bebidas,Restaurante,25.00,13,325.00,Efectivo,Sr.,Tarde,118.221,118.222,118
119.221,119.222,2022-04-23,Panipuri,Comida rapida,Restaurante,20.00,9,180.00,Virtual,Sr.,Maniana,119.221,119.222,119
120.221,120.222,2022-04-24,Panipuri,Comida rapida,Restaurante,20.00,3,60.00,Cheque,Sra.,Noche,120.221,120.222,120
121.221,121.222,2022-04-24,Vadapav,Comida rapida,Domicilio,20.00,2,40.00,Efectivo,Sra.,Media noche,121.221,121.222,121
122.221,122.222,2022-04-24,Vadapav,Comida rapida,Restaurante,20.00,3,60.00,Efectivo,Sr.,Maniana,122.221,122.222,122
123.221,123.222,2022-04-25,Vadapav,Comida rapida,Restaurante,20.00,4,80.00,Efectivo,Sr.,Tarde,123.221,123.222,123
124.221,124.222,2022-04-25,Vadapav,Comida rapida,Domicilio,20.00,5,100.00,Efectivo,Sr.,Maniana,124.221,124.222,124
125.221,125.222,2022-04-26,Cafe frio,Bebidas,Restaurante,40.00,1,40.00,Virtual,Sr.,Tarde/noche,125.221,125.222,125
126.221,126.222,2022-04-26,Vadapav,Comida rapida,Domicilio,20.00,13,260.00,Efectivo,Sr.,Maniana,126.221,126.222,126
127.221,127.222,2022-04-26,Cafe frio,Bebidas,Domicilio,40.00,1,40.00,Virtual,Sra.,Noche,127.221,127.222,127
128.221,128.222,2022-04-26,Cafe frio,Bebidas,Domicilio,40.00,12,480.00,Cheque,Sr.,Maniana,128.221,128.222,128
129.221,129.222,2022-04-27,Panipuri,Comida rapida,Domicilio,20.00,9,180.00,Efectivo,Sra.,Maniana,129.221,129.222,129
130.221,130.222,2022-04-27,Panipuri,Comida rapida,Restaurante,20.00,2,40.00,Efectivo,Sr.,Tarde/noche,130.221,130.222,130
131.221,131.222,2022-04-28,Aalopuri,Comida rapida,Restaurante,20.00,7,140.00,Efectivo,Sra.,Tarde/noche,131.221,131.222,131
132.221,132.222,2022-04-29,Aalopuri,Comida rapida,Domicilio,20.00,8,160.00,Efectivo,Sr.,Maniana,132.221,132.222,132
133.221,133.222,2022-04-30,Vadapav,Comida rapida,Domicilio,20.00,7,140.00,Cheque,Sra.,Tarde,133.221,133.222,133
134.221,134.222,2022-04-30,Sandwich,Comida rapida,Restaurante,60.00,10,600.00,Virtual,Sr.,Tarde/noche,134.221,134.222,134
135.221,135.222,2022-04-30,Frankie,Comida rapida,Domicilio,50.00,13,650.00,Virtual,Sr.,Maniana,135.221,135.222,135
136.221,136.222,2022-04-30,Jugo cania de azucar,Bebidas,Domicilio,25.00,13,325.00,Virtual,Sr.,Noche,136.221,136.222,136
137.221,137.222,2022-05-04,Frankie,Comida rapida,Domicilio,50.00,2,100.00,Efectivo,Sra.,Maniana,137.221,137.222,137
138.221,138.222,2022-05-05,Cafe frio,Bebidas,Restaurante,40.00,12,480.00,Virtual,Sra.,Maniana,138.221,138.222,138
139.221,139.222,2022-05-05,Cafe frio,Bebidas,Restaurante,40.00,11,440.00,Efectivo,Sr.,Maniana,139.221,139.222,139
140.221,140.222,2022-05-05,Jugo cania de azucar,Bebidas,Domicilio,25.00,5,125.00,Efectivo,Sr.,Media noche,140.221,140.222,140
141.221,141.222,2022-05-05,Jugo cania de azucar,Bebidas,Domicilio,25.00,8,200.00,Virtual,Sr.,Noche,141.221,141.222,141
142.221,142.222,2022-05-06,Panipuri,Comida rapida,Restaurante,20.00,7,140.00,Virtual,Sr.,Maniana,142.221,142.222,142
143.221,143.222,2022-05-06,Vadapav,Comida rapida,Domicilio,20.00,3,60.00,Efectivo,Sr.,Tarde,143.221,143.222,143
144.221,144.222,2022-05-07,Panipuri,Comida rapida,Domicilio,20.00,15,300.00,Efectivo,Sr.,Noche,144.221,144.222,144
145.221,145.222,2022-05-08,Sandwich,Comida rapida,Domicilio,60.00,9,540.00,Cheque,Sr.,Maniana,145.221,145.222,145
146.221,146.222,2022-05-08,Jugo cania de azucar,Bebidas,Restaurante,25.00,5,125.00,Virtual,Sra.,Media noche,146.221,146.222,146
147.221,147.222,2022-05-08,Vadapav,Comida rapida,Domicilio,20.00,15,300.00,Efectivo,Sr.,Tarde/noche,147.221,147.222,147
148.221,148.222,2022-05-09,Jugo cania de azucar,Bebidas,Domicilio,25.00,12,300.00,Efectivo,Sra.,Noche,148.221,148.222,148
149.221,149.222,2022-05-09,Sandwich,Comida rapida,Restaurante,60.00,4,240.00,Virtual,Sr.,Media noche,149.221,149.222,149
150.221,150.222,2022-05-09,Vadapav,Comida rapida,Restaurante,20.00,8,160.00,Efectivo,Sr.,Tarde/noche,150.221,150.222,150
151.221,151.222,2022-05-10,Vadapav,Comida rapida,Domicilio,20.00,4,80.00,Virtual,Sr.,Media noche,151.221,151.222,151
152.221,152.222,2022-05-10,Vadapav,Comida rapida,Restaurante,20.00,9,180.00,Efectivo,Sra.,Noche,152.221,152.222,152
153.221,153.222,2022-05-10,Vadapav,Comida rapida,Domicilio,20.00,13,260.00,Efectivo,Sra.,Media noche,153.221,153.222,153
154.221,154.222,2022-05-10,Vadapav,Comida rapida,Domicilio,20.00,6,120.00,Efectivo,Sra.,Maniana,154.221,154.222,154
155.221,155.222,2022-05-11,Panipuri,Comida rapida,Domicilio,20.00,10,200.00,Efectivo,Sra.,Noche,155.221,155.222,155
156.221,156.222,2022-05-11,Panipuri,Comida rapida,Restaurante,20.00,6,120.00,Virtual,Sr.,Noche,156.221,156.222,156
157.221,157.222,2022-05-11,Panipuri,Comida rapida,Restaurante,20.00,8,160.00,Virtual,Sr.,Noche,157.221,157.222,157
158.221,158.222,2022-05-11,Sandwich,Comida rapida,Restaurante,60.00,4,240.00,Virtual,Sr.,Noche,158.221,158.222,158
159.221,159.222,2022-05-11,Frankie,Comida rapida,Restaurante,50.00,9,450.00,Efectivo,Sr.,Media noche,159.221,159.222,159
160.221,160.222,2022-05-12,Cafe frio,Bebidas,Restaurante,40.00,6,240.00,Virtual,Sr.,Noche,160.221,160.222,160
161.221,161.222,2022-05-12,Vadapav,Comida rapida,Domicilio,20.00,4,80.00,Virtual,Sra.,Noche,161.221,161.222,161
162.221,162.222,2022-05-12,Vadapav,Comida rapida,Domicilio,20.00,8,160.00,Virtual,Sr.,Tarde/noche,162.221,162.222,162
163.221,163.222,2022-05-13,Aalopuri,Comida rapida,Restaurante,20.00,15,300.00,Efectivo,Sr.,Tarde,163.221,163.222,163
164.221,164.222,2022-05-13,Jugo cania de azucar,Bebidas,Restaurante,25.00,1,25.00,Efectivo,Sr.,Tarde,164.221,164.222,164
165.221,165.222,2022-05-13,Cafe frio,Bebidas,Restaurante,40.00,14,560.00,Efectivo,Sr.,Noche,165.221,165.222,165
166.221,166.222,2022-05-14,Vadapav,Comida rapida,Domicilio,20.00,2,40.00,Virtual,Sr.,Tarde/noche,166.221,166.222,166
167.221,167.222,2022-05-14,Cafe frio,Bebidas,Domicilio,40.00,10,400.00,Virtual,Sr.,Maniana,167.221,167.222,167
168.221,168.222,2022-05-14,Aalopuri,Comida rapida,Restaurante,20.00,7,140.00,Efectivo,Sr.,Media noche,168.221,168.222,168
169.221,169.222,2022-05-14,Frankie,Comida rapida,Restaurante,50.00,5,250.00,Virtual,Sr.,Tarde,169.221,169.222,169
170.221,170.222,2022-05-15,Aalopuri,Comida rapida,Domicilio,20.00,9,180.00,Efectivo,Sr.,Media noche,170.221,170.222,170
171.221,171.222,2022-05-15,Sandwich,Comida rapida,Domicilio,60.00,7,420.00,Virtual,Sra.,Maniana,171.221,171.222,171
172.221,172.222,2022-05-15,Aalopuri,Comida rapida,Domicilio,20.00,12,240.00,Cheque,Sra.,Tarde,172.221,172.222,172
173.221,173.222,2022-05-15,Vadapav,Comida rapida,Domicilio,20.00,15,300.00,Virtual,Sr.,Tarde/noche,173.221,173.222,173
174.221,174.222,2022-05-15,Cafe frio,Bebidas,Domicilio,40.00,2,80.00,Virtual,Sra.,Tarde,174.221,174.222,174
175.221,175.222,2022-05-16,Frankie,Comida rapida,Domicilio,50.00,15,750.00,Virtual,Sra.,Maniana,175.221,175.222,175
176.221,176.222,2022-05-16,Aalopuri,Comida rapida,Restaurante,20.00,2,40.00,Cheque,Sr.,Media noche,176.221,176.222,176
177.221,177.222,2022-05-16,Vadapav,Comida rapida,Domicilio,20.00,13,260.00,Cheque,Sra.,Maniana,177.221,177.222,177
178.221,178.222,2022-05-16,Vadapav,Comida rapida,Domicilio,20.00,2,40.00,Virtual,Sra.,Noche,178.221,178.222,178
179.221,179.222,2022-05-17,Panipuri,Comida rapida,Restaurante,20.00,7,140.00,Virtual,Sr.,Tarde/noche,179.221,179.222,179
180.221,180.222,2022-05-18,Vadapav,Comida rapida,Restaurante,20.00,4,80.00,Virtual,Sra.,Media noche,180.221,180.222,180
181.221,181.222,2022-05-18,Frankie,Comida rapida,Restaurante,50.00,13,650.00,Virtual,Sra.,Tarde,181.221,181.222,181
182.221,182.222,2022-05-19,Cafe frio,Bebidas,Domicilio,40.00,3,120.00,Virtual,Sra.,Maniana,182.221,182.222,182
183.221,183.222,2022-05-19,Aalopuri,Comida rapida,Domicilio,20.00,7,140.00,Efectivo,Sr.,Media noche,183.221,183.222,183
184.221,184.222,2022-05-20,Jugo cania de azucar,Bebidas,Restaurante,25.00,14,350.00,Efectivo,Sra.,Maniana,184.221,184.222,184
185.221,185.222,2022-05-20,Jugo cania de azucar,Bebidas,Domicilio,25.00,3,75.00,Virtual,Sra.,Tarde/noche,185.221,185.222,185
186.221,186.222,2022-05-20,Jugo cania de azucar,Bebidas,Restaurante,25.00,1,25.00,Virtual,Sr.,Maniana,186.221,186.222,186
187.221,187.222,2022-05-20,Aalopuri,Comida rapida,Restaurante,20.00,3,60.00,Efectivo,Sra.,Tarde,187.221,187.222,187
188.221,188.222,2022-05-21,Sandwich,Comida rapida,Restaurante,60.00,2,120.00,Virtual,Sr.,Tarde,188.221,188.222,188
189.221,189.222,2022-05-21,Cafe frio,Bebidas,Restaurante,40.00,13,520.00,Virtual,Sra.,Tarde,189.221,189.222,189
190.221,190.222,2022-05-21,Aalopuri,Comida rapida,Domicilio,20.00,12,240.00,Efectivo,Sra.,Tarde/noche,190.221,190.222,190
191.221,191.222,2022-05-21,Aalopuri,Comida rapida,Domicilio,20.00,13,260.00,Efectivo,Sra.,Media noche,191.221,191.222,191
192.221,192.222,2022-05-22,Vadapav,Comida rapida,Domicilio,20.00,8,160.00,Efectivo,Sr.,Maniana,192.221,192.222,192
193.221,193.222,2022-05-22,Sandwich,Comida rapida,Restaurante,60.00,15,900.00,Virtual,Sr.,Noche,193.221,193.222,193
194.221,194.222,2022-05-22,Frankie,Comida rapida,Restaurante,50.00,12,600.00,Cheque,Sr.,Noche,194.221,194.222,194
195.221,195.222,2022-05-22,Sandwich,Comida rapida,Restaurante,60.00,11,660.00,Virtual,Sra.,Noche,195.221,195.222,195
